Title,Summary,Genre,Feature
동주,"펜을 든 동주와 총을 든 몽규. 비극의 시대를 살아가는 둘의 방식은 달랐지만 같았다. 동주는 시를 통해 아파했고, 몽규는 행동으로 저항했다. 일제강점기, 평생을 함께한 친구이자 라이벌이었던 빛나는 청춘들의 진짜 이야기가 시작된다.",한국 영화 드라마 장르 영화 드라마 장르 영화 정치 사회 이슈 드라마,가슴 뭉클 감동 풍부한 감정
파수꾼,"우정이 영원하리라 믿었던 세 친구. 한 명은 죽음을 택했고, 한 명은 전학을 갔고, 한 명은 장례식에 오지도 않았다. 단 한 번이라도 진정한 친구이기는 했던 걸까.",한국 영화 드라마 장르 영화 인디 영화,다크
변호인,빽도 없고 가방끈은 짧아도 제 분야에서 승승장구하던 세무변호사 송우석. 국밥집 아들이 간첩으로 몰렸을 때 송변이 내민 손길은 그의 삶을 송두리째 뒤바꿀 신호탄이었다.,한국 영화 드라마 장르 영화 법정 영화 드라마 장르 드라마 장르 영화 정치 사회 이슈 드라마,감동 풍부한 감정
명당,"땅의 기운을 점치는 데 있어 천재적인 재능을 가진 지관 박재상. 왕릉에 대한 간언을 올렸다가 가족을 모두 잃은 아픈 과거가 있다. 어느 날 몰락한 왕족 흥선을 만나고, 명당을 이용해 왕이 되려는 권세가를 함께 무너뜨릴 계획을 세운다.",시대물 한국 영화 드라마 장르 영화 드라마 장르 영화 정치,흥미진진
소원,"8살 난 소원이 잔인한 성폭행에서 간신히 살아남은 후, 가족들은 소원의 치유를 돕는 한편으로 본인들의 분노와 슬픔을 극복하려 애쓴다.",한국 영화 드라마 장르 영화 드라마 장르 영화 범죄 사회 이슈 드라마,가슴 뭉클 풍부한 감정
7번방의 선물,흉악범들이 득실대는 7번 방에 이상한 놈이 들어온다. 바로 6살 지능을 가진 딸바보 용구. 사연을 접한 동료들은 용구의 딸 예승을 아예 안으로 데려오려 한다. 교도소 역사상 전무후무한 외부인 반입 작전! 지금까지 이런 감동은 없었다.,한국 영화 드라마 장르 영화 사회 이슈 드라마,가슴 뭉클 감동 풍부한 감정
오직 그대만,"잘나가던 전직 복서 철민이 일하는 주차 부스. 비 오던 어느 날, 시각장애인 정화가 불쑥 들어온다. 우연처럼 시작된 둘의 사랑. 철민은 정화의 수술비를 위해 위험한 거래에 나서지만, 둘의 사이는 이미 잔인한 운명으로 이어져 있었으니.",한국 영화 드라마 장르 영화 스포츠 드라마 로맨스 영화 드라마 장르 영화 로맨스,가슴 뭉클 풍부한 감정 로맨스
고지전,"최전방 애록고지에서 전사한 중대장의 시신에서 아군의 총알이 발견됐다. 진실을 파헤치기 위해 악어부대로 파견된 강은표 중위. 생사도 몰랐던 오랜 친구와의 재회도 잠시, 하루에도 몇십 명이 죽어 나가는 고지전의 실체와 마주한다.",한국 영화 드라마 장르 영화 드라마 장르 영화 밀리터리,가슴 뭉클 풍부한 감정 로맨스
왕의 남자,"조선 연산군 시대. 장안의 놀이판을 다스리던 조선 제일의 광대들이 왕을 희롱하다 궁으로 끌려간다. 왕께서 웃지 않으시면 네놈들의 목을 칠 것이야. 먹고 살기 위해 벌였던 놀이판에 목숨을 걸게 된 광대들, 한판 신명 나게 놀아볼까!",LGBTQ 영화 시대물 한국 영화 드라마 장르 영화 드라마 장르 영화 정치,풍부한 감정
인간중독,"월남전에서 돌아온 김진평 대령은 부관의 아내 가흔에게 매혹된다. 서로 볼 수 없고 만질 수 없다면 숨도 쉴 수 없는 그것은 중독, 치명적인 사랑의 시작이었다.",한국 영화 드라마 장르 영화 드라마 장르 영화 관능적 로맨스 영화 드라마 장르 영화 로맨스 관능적 로맨틱 영화,관능적 로맨스
